id,state.abbrev,station,city,county,zipcode,latitude,longitude
5000,MO,LAKE OZARK POLICE DEPT,Lake Ozark,Miller County,65049,38.183348,-92.634854
5001,MO,LAKE WINNEBAGO POLICE DEPT,Lake Winnebago,Cass County,64034,38.834714,-94.374789
5002,MO,LAMAR POLICE DEPT,Lamar,Prowers County,81052,38.084895,-102.618787
5003,MO,LANAGAN POLICE DEPT,Lanagan,McDonald County,64847,36.608521,-94.448818
5004,MO,LAURIE POLICE DEPARTMENT,Gravois Mills,Morgan County,65037,38.196234,-92.831323
5005,MO,LAWRENCE COUNTY SHERIFF DEPT,Mount Vernon,Lawrence County,65712,37.104533,-93.818069
5006,MO,LAWRENCE COUNTY SHERIFFS OFFICE,Mount Vernon,Lawrence County,65712,37.104533,-93.818069
5007,MO,LEADWOOD POLICE DEPT,Leadwood,St. Francois County,63653,37.864793,-90.591791
5008,MO,LEASBURG POLICE DEPT,Leesburg,Loudoun County,20176,39.110967,-77.548852
5009,MO,LEWIS COUNTY SHERIFF OFFICE,Chehalis,Lewis County,98532,46.661279,-122.969517
5010,MO,LEXINGTON POLICE DEPT,Lexington,Fayette County,40507,38.045195,-84.496353
5011,MO,LIBERAL POLICE DEPT,Liberal,Seward County,67901,37.041472,-100.920674
5012,MO,LILBOURN POLICE DEPT,Lilbourn,New Madrid County,63862,36.595833,-89.6155
5013,MO,LINCOLN COUNTY SHERIFF DEPT,Lincolnton,Lincoln County,28092,35.489225,-81.237513
5014,MO,LINCOLN COUNTY SHERIFFS OFFICE,Lincolnton,Lincoln County,28092,35.489225,-81.237513
5015,MO,LINCOLN UNIVERSITY POLICE,Lincoln,Lancaster County,68588,40.816639,-96.696538
